;Fruit;Company;Clean Format;Sum of Volume;Average of Price
;mango;;;;
;;;Slices;210 MT;2 993 USD/MT
;;;Halves;97 MT;2 761 USD/MT
;;;Chunks;57 MT;2 436 USD/MT
;;;;;
;;VIRU S.A.;;;
;;;Unknown;2 337 MT;2 820 USD/MT
;;;Cubes;1 710 MT;3 265 USD/MT
;;;Chunks;659 MT;2 481 USD/MT
;;;Halves;363 MT;2 854 USD/MT
;;;Slices;90 MT;2 970 USD/MT
;;;;;
;;AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA;;;
;;;Cubes;2 290 MT;2 965 USD/MT
;;;Slices;1 057 MT;3 008 USD/MT
;;;Unknown;370 MT;3 479 USD/MT
;;;Pulp;308 MT;2 421 USD/MT
;;;Chunks;199 MT;2 564 USD/MT
;;;;;
Avocado;;AGROINDUSTRIA FRUTOS DE ORO S.A.C.;;;
;;;Unknown;1 993 MT;2 093 USD/MT
;;;(blank);645 MT;2 733 USD/MT
;;;Cubes;350 MT;2 485 USD/MT
;;;Slices;59 MT;2 492 USD/MT
;;;Halves;22 MT;2 396 USD/MT
;;;;;
;;AGROEMPAQUES S.A.;;;
;;;Chunks;1 651 MT;2 898 USD/MT
;;;Pulp;770 MT;2 776 USD/MT
;;;Unknown;365 MT;3 064 USD/MT
;;;(blank);24 MT;2 750 USD/MT
;;;;;
;;AMARA FOODS S.A.C.;;;
;;;Pulp;2 335 MT;2 641 USD/MT
;;;Cubes;32 MT;2 394 USD/MT
;;;Unknown;22 MT;2 745 USD/MT
;;;Slices;6 MT;1 364 USD/MT
;;;;;
;;DOMINUS S.A.C;;;
;;;Unknown;2 223 MT;2 743 USD/MT
;;;;;
;;CAMPOSOL S.A.;;;
;;;Unknown;1 950 MT;3 292 USD/MT
;;;;;
;;WESTFALIA FRUIT PERÚ S.A.C.;;;
;;;Unknown;982 MT;3 806 USD/MT
;;;(blank);266 MT;2 909 USD/MT
;;;Cubes;258 MT;2 939 USD/MT
;;;Pulp;197 MT;3 108 USD/MT
;;;;;
;;ARA FOODS INDUSTRY S.A.C.;;;
;;;Unknown;844 MT;2 966 USD/MT
;;;Chunks;329 MT;2 545 USD/MT
;;;Cubes;36 MT;2 950 USD/MT
;;;Halves;35 MT;2 374 USD/MT
;;;Slices;21 MT;3 637 USD/MT
;;;;;
Avocado;;GRUPO TAVARI S.A.C.;;;
;;;Unknown;638 MT;2 824 USD/MT
;;;Chunks;385 MT;2 750 USD/MT
;;;Cubes;97 MT;2 654 USD/MT
;;;Pulp;68 MT;2 312 USD/MT
;;;Halves;45 MT;3 143 USD/MT
;;;;;
;;DANPER TRUJILLO S.A.C.;;;
;;;Unknown;1 222 MT;3 042 USD/MT
;;;;;
;;DEL ANDE ALIMENTOS S.A.C.;;;
;;;Pulp;445 MT;2 445 USD/MT
;;;Chunks;193 MT;2 883 USD/MT
;;;Slices;91 MT;3 578 USD/MT
;;;Halves;80 MT;2 855 USD/MT
;;;Cubes;78 MT;2 597 USD/MT
;;;;;
;;AGRO FROST S.A.C.;;;
;;;Pulp;290 MT;1 987 USD/MT
;;;Cubes;129 MT;2 871 USD/MT
;;;Chunks;123 MT;2 418 USD/MT
;;;Halves;120 MT;2 528 USD/MT
;;;Slices;36 MT;2 716 USD/MT
;;;;;
;;HONEST FOODS S.A.C.;;;
;;;Chunks;250 MT;2 194 USD/MT
;;;Pulp;156 MT;2 742 USD/MT
;;;Unknown;110 MT;2 987 USD/MT
;;;;;
;;MEBOL GF S.A.C.;;;
;;;Chunks;237 MT;3 546 USD/MT
;;;Unknown;220 MT;2 882 USD/MT
;;;Pulp;23 MT;3 139 USD/MT
;;;Cubes;10 MT;2 942 USD/MT
;;;;;
Avocado;;FRUTOS TONGORRAPE SOCIEDAD ANONIMA;;;
;;;(blank);236 MT;3 090 USD/MT
;;;Halves;96 MT;1 513 USD/MT
;;;Cubes;55 MT;3 038 USD/MT
;;;Pulp;47 MT;2 655 USD/MT
;;;Chunks;33 MT;1 952 USD/MT
;;;;;
;;PROCESADORA PERU SOCIEDAD ANONIMA CERRADA;;;
;;;Unknown;103 MT;3 112 USD/MT
;;;Cubes;91 MT;2 055 USD/MT
;;;Slices;47 MT;3 034 USD/MT
;;;(blank);46 MT;2 861 USD/MT
;;;Chunks;24 MT;2 868 USD/MT
;;;;;
;;EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D;;;
;;;Pulp;154 MT;2 352 USD/MT
;;;Unknown;56 MT;2 835 USD/MT
;;;Halves;52 MT;3 503 USD/MT
;;;Cubes;8 MT;2 121 USD/MT
;;;Slices;5 MT;3 519 USD/MT
;;;;;
;;UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA;;;
;;;Pulp;145 MT;3 267 USD/MT
;;;Chunks;81 MT;2 860 USD/MT
;;;;;
Avocado;;AGRICOLA LOS MEDANOS S.A.;;;
;;;Halves;121 MT;2 650 USD/MT
;;;(blank);39 MT;2 500 USD/MT
