fruit_name,Exporter,format_type,Shipments,Avg Price USD/MT,Median Price USD/MT,Std Dev,Min Price USD/MT,Max Price USD/MT,Total Volume MT,Destination Countries,Organic,IQF,Certifications
banana,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,slices,1,50.0,50.0,,50.0,50.0,0.06,Netherlands,No,Yes,
banana,VIRU S.A.,slices,4,446.75,441.0,237.46,225.0,680.0,0.02,Spain,No,No,
banana,VIRU S.A.,unknown,1,391.67,391.67,,391.67,391.67,0.01,Spain,No,No,
banana,VIRU S.A.,whole,1,1170.0,1170.0,,1170.0,1170.0,0.0,Slovenia,No,No,
banana,VIRÚ GROUP PERÚ S.A.,slices,5,411.45,260.0,405.39,36.0,1050.0,0.02,Spain,No,No,
banana,VIRÚ GROUP PERÚ S.A.,unknown,1,166.67,166.67,,166.67,166.67,0.0,Spain,No,No,
blueberry,AGRO FROST S.A.C.,unknown,3,2075.0,2100.0,43.3,2025.0,2100.0,72.0,"Belgium, Croatia",No,No,
blueberry,AGROEMPAQUES S.A.,unknown,7,2238.57,2190.0,182.52,1900.0,2400.0,168.0,"Germany, Netherlands",No,No,
blueberry,AGROVISION PERU S.A.C.,unknown,55,1376.94,1199.87,555.17,29.27,2659.81,1229.6,"Belgium, Germany, Netherlands, Poland, Spain, United Kingdom",No,No,
blueberry,CAMPOSOL S.A.,unknown,333,2282.46,2312.09,247.74,1620.33,3262.6,7526.21,"Belgium, Germany, Italy, Netherlands, Poland, United Kingdom",No,No,
blueberry,COMPLEJO AGROINDUSTRIAL BETA S.A.,chunks,1,2150.0,2150.0,,2150.0,2150.0,21.97,Germany,No,No,
blueberry,COMPLEJO AGROINDUSTRIAL BETA S.A.,unknown,50,1985.92,2060.0,318.39,694.64,2231.92,1011.7,"Belgium, Germany, Netherlands, Poland, United Kingdom",No,No,
blueberry,DANPER TRUJILLO S.A.C.,unknown,24,2262.11,2375.13,431.89,333.33,2598.08,536.96,"France, Germany, Poland, United Kingdom",No,No,
blueberry,DEL ANDE ALIMENTOS S.A.C.,unknown,4,1566.6,2085.8,1038.4,9.0,2085.82,72.0,"Belgium, Poland",No,No,
blueberry,DOMINUS S.A.C,unknown,22,2262.09,2328.38,412.94,833.33,2675.0,496.97,"Belgium, Poland, United Kingdom",No,No,
blueberry,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,unknown,2,2041.94,2041.94,227.04,1881.39,2202.48,23.33,Poland,No,No,
blueberry,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,whole,4,2282.0,2168.75,426.5,1900.0,2890.52,46.38,"Germany, Spain",No,No,
blueberry,FRUTICAL S.A.C.,iqf,4,2226.82,2163.9,151.05,2129.49,2450.0,96.02,"Germany, Poland",No,Yes,
blueberry,FRUTICAL S.A.C.,unknown,61,2193.15,2147.26,160.28,1965.54,2700.0,1464.15,"Belgium, Germany, Poland, United Kingdom",No,No,
blueberry,FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,unknown,38,2293.25,2321.83,341.98,830.0,2720.0,841.32,"Croatia, France, Germany, Italy, Netherlands, Poland",No,No,conventional
blueberry,FRUTÍCOLA OLMUÉ PERÚ S.A.C.,iqf,6,2516.66,2550.0,136.64,2349.97,2650.0,143.2,"Netherlands, Poland, United Kingdom",No,Yes,conventional
blueberry,FRUTÍCOLA OLMUÉ PERÚ S.A.C.,unknown,2,2349.97,2349.97,0.0,2349.97,2349.97,47.2,United Kingdom,No,No,
blueberry,FUSION FOODS S.A.C.,iqf,1,2323.96,2323.96,,2323.96,2323.96,24.0,Germany,No,Yes,
blueberry,GAMN EXPORT & IMPORT SERV GNRAL S.A.C.,unknown,1,2345.33,2345.33,,2345.33,2345.33,24.0,Germany,No,No,
blueberry,MEBOL GF S.A.C.,chunks,13,2474.75,2587.75,225.57,2008.33,2622.73,303.5,"Belgium, Germany, Poland, United Kingdom",No,No,
blueberry,MEBOL GF S.A.C.,unknown,7,2231.97,2585.42,817.64,425.0,2832.5,144.0,"Belgium, Germany",No,No,
