Exporter,format_type,acai,avocado,banana,blueberry,camu_camu,cherimoya,golden_berry,grape,lucuma,mango,mix,papaya,passion_fruit,pineapple,pitaya,pomegranate,soursop,strawberry
VIRÚ GROUP PERÚ S.A.,broken_pieces,,2375.2,,,,,,,,,,,,,,,,
VIRÚ GROUP PERÚ S.A.,chunks,150.0,2377.2,,1986.75,,,,,,300.0,,,,789.16,,,,
VIRÚ GROUP PERÚ S.A.,cubes,,3286.33,,,,,,,,2607.4,,,,,,,,
VIRÚ GROUP PERÚ S.A.,halves,,909.62,,,,,,,,655.0,,,,,,,,5333.1
VIRÚ GROUP PERÚ S.A.,pulp,602.0,,,,,,,,,,,,,312.5,,,,
VIRÚ GROUP PERÚ S.A.,slices,,2685.21,260.0,,,,,,,,,,,,,,,5333.1
VIRÚ GROUP PERÚ S.A.,unknown,330.0,3240.66,166.67,1637.21,,,,84.34,,2029.27,150.0,,,295.0,,,,330.0
VIRÚ GROUP PERÚ S.A.,whole,,,,1776.25,,,,,,,,,,,,,,5333.1
WESTFALIA FRUIT PERÚ S.A.C.,cubes,,2860.0,,,,,,,,,,,,,,,,
WESTFALIA FRUIT PERÚ S.A.C.,iqf,,2860.0,,,,,,,,1499.93,,,,,,,,
WESTFALIA FRUIT PERÚ S.A.C.,pulp,,3194.72,,,,,,,,,,,,,,,,
WESTFALIA FRUIT PERÚ S.A.C.,unknown,,3040.0,,,,,,,,1522.14,,,,,,,,
ZOWI PERU SOCIEDAD ANONIMA CERRADA,pulp,,,,,,,,,3073.1,,,,2803.12,,,,,
