fruit_name,Exporter,Shipments,Avg Price USD/MT,Median Price USD/MT,Min Price USD/MT,Max Price USD/MT,Total Volume MT,Formats Offered
papaya,MIKUY TRADERS S.A.C.,2,1902.22,1902.22,1804.63,1999.8,0.55,"chunks, pulp"
papaya,LAMAS IMPORT EXPORT S.A.C.,2,1282.26,1282.26,1280.0,1284.51,0.14,chunks
papaya,MONDO IMPRENDITORE S.A.C.,1,666.67,666.67,666.67,666.67,0.0,unknown
passion_fruit,AMARA FOODS S.A.C.,13,2388.17,2500.0,333.33,3000.0,73.52,pulp
passion_fruit,FUSION FOODS S.A.C.,13,4382.42,5638.65,2210.67,6454.35,55.53,pulp
passion_fruit,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,7,3433.47,3554.9,2700.0,3587.76,55.21,"cubes, unknown"
passion_fruit,FLYMEXPORT PERU E.I.R.L.,2,3527.5,3527.5,3495.0,3560.0,39.4,pulp
passion_fruit,LAMAS IMPORT EXPORT S.A.C.,22,1845.88,1729.77,1310.0,2428.57,24.07,"pulp, unknown, whole"
passion_fruit,ZOWI PERU SOCIEDAD ANONIMA CERRADA,4,2973.41,2803.12,2467.41,3820.01,12.81,pulp
passion_fruit,MIKUY TRADERS S.A.C.,3,1681.87,2008.03,459.14,2578.43,5.4,pulp
passion_fruit,INDUSTRIAS SISA S.A.C.,4,2122.4,2323.07,843.43,3000.0,5.26,pulp
passion_fruit,MEBOL SAC,1,3599.71,3599.71,3599.71,3599.71,4.41,chunks
passion_fruit,MIRANDA - LANGA AGRO EXPORT S.A.C - MIRANDA - LANGA S.A.C,2,3500.0,3500.0,3333.33,3666.67,3.06,pulp
passion_fruit,THE GREEN FARMER S.A.C.,2,3700.0,3700.0,3400.0,4000.0,2.29,pulp
passion_fruit,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,1,3600.0,3600.0,3600.0,3600.0,1.2,pulp
passion_fruit,BLOSSOM TRAINER PERU S.A.C.,4,2450.0,2470.0,2290.0,2570.0,0.72,unknown
passion_fruit,OLLADEBARROFOODSOCIEDADCOMERCIALDERESPON,10,2540.0,2610.0,1700.0,2980.0,0.54,unknown
passion_fruit,EMPRESA AGRARIA CAFETALERA CHANCHAMAYO H,1,4671.7,4671.7,4671.7,4671.7,0.26,pulp
passion_fruit,MULTISERVICIOS ROMERO'S & MORENO'S S.A.C.,2,3095.0,3095.0,2930.0,3260.0,0.09,unknown
passion_fruit,MAPA LOGISTICA INTERNACIONAL SAC,1,2777.78,2777.78,2777.78,2777.78,0.03,unknown
passion_fruit,FALEB CORP E.I.R.L.,2,2875.0,2875.0,2850.0,2900.0,0.02,unknown
passion_fruit,MONDO IMPRENDITORE S.A.C.,1,625.0,625.0,625.0,625.0,0.01,unknown
passion_fruit,AGROINDUSTRIAS CRIAL S.A.C.,1,1500.0,1500.0,1500.0,1500.0,0.0,pulp
passion_fruit,ALIMENTOS HIMALAYA PERU E.I.R.L.,1,250.0,250.0,250.0,250.0,0.0,pulp
pineapple,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,4,3362.5,3325.0,3300.0,3500.01,96.0,unknown
pineapple,SELVA INDUSTRIAL S.A.,4,3175.0,3150.0,3100.0,3300.0,91.2,chunks
pineapple,PACIFIC IQF SAC,1,1232.01,1232.01,1232.01,1232.01,25.24,chunks
pineapple,PROCESADORA LARAN SAC,1,950.0,950.0,950.0,950.0,24.0,unknown
pineapple,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,3,2206.16,2247.8,2058.58,2312.11,6.26,"chunks, cubes"
pineapple,VIRÚ GROUP PERÚ S.A.,17,735.35,400.0,5.0,4280.0,3.64,"chunks, pulp, unknown"
pineapple,LAMAS IMPORT EXPORT S.A.C.,2,1599.62,1599.62,1599.24,1600.0,1.06,pulp
pineapple,VIRU S.A.,10,733.95,380.0,200.0,3400.0,0.04,"chunks, pulp, unknown"
pineapple,ANDES TRADERS S.A.C.,2,1142.0,1142.0,1142.0,1142.0,0.01,"chunks, pulp"
pineapple,MONDO IMPRENDITORE S.A.C.,1,666.67,666.67,666.67,666.67,0.01,unknown
pineapple,AGROINDUSTRIAS CRIAL S.A.C.,1,1500.0,1500.0,1500.0,1500.0,0.0,pulp
pineapple,ANDEAN PARTNER FOOD S.A.C.,1,200.0,200.0,200.0,200.0,0.0,unknown
pineapple,MEBOL GF S.A.C.,1,425.0,425.0,425.0,425.0,0.0,unknown
pitaya,CAMPOSOL S.A.,1,1957.14,1957.14,1957.14,1957.14,0.01,unknown
pomegranate,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,1,3800.05,3800.05,3800.05,3800.05,20.0,cubes
soursop,LAMAS IMPORT EXPORT S.A.C.,10,1481.96,1600.0,557.14,1700.0,7.6,"pulp, unknown, whole"
soursop,MIKUY TRADERS S.A.C.,1,2660.2,2660.2,2660.2,2660.2,0.46,pulp
soursop,FUSION FOODS S.A.C.,1,5638.67,5638.67,5638.67,5638.67,0.27,pulp
soursop,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,1,5984.75,5984.75,5984.75,5984.75,0.2,pulp
soursop,NOVAL COMPANY S.A.C.,1,3350.0,3350.0,3350.0,3350.0,0.03,unknown
strawberry,VIRU S.A.,5,1899.67,1360.0,567.5,3400.0,13.61,"pulp, unknown"
strawberry,VIRÚ GROUP PERÚ S.A.,15,2420.41,1050.0,25.81,9616.21,0.3,"halves, slices, unknown, whole"
strawberry,MONARCA EXPORTS S.A.C.,2,19598.84,19598.84,19536.15,19661.54,0.03,unknown
strawberry,MONDO IMPRENDITORE S.A.C.,1,666.67,666.67,666.67,666.67,0.0,unknown
