Exporter;Fruit;Format;Average of Average Price (USD/MT);Sum of Volume (MT)
;;whole;2 397 USD/MT;94 MT
SELVA INDUSTRIAL S.A.;;;7 629 USD/MT;91 MT
;pineapple;;;
;;chunks;7 629 USD/MT;91 MT
SOCIEDAD MERCANTIL (EXPORTACION) SA;;;1 826 USD/MT;88 MT
;blueberry;;;
;;whole;1 826 USD/MT;88 MT
PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.;;;2 489 USD/MT;80 MT
;mango;;;
;;chunks;1 628 USD/MT;72 MT
;golden_berry;;;
;;whole;3 350 USD/MT;8 MT
FLYMEXPORT PERU E.I.R.L.;;;3 528 USD/MT;39 MT
;passion_fruit;;;
;;pulp;3 528 USD/MT;39 MT
PACIFIC IQF SAC;;;1 232 USD/MT;25 MT
;pineapple;;;
;;chunks;1 232 USD/MT;25 MT
P & M FRUITS S.A.C.;;;1 682 USD/MT;24 MT
;mango;;;
;;chunks;1 682 USD/MT;24 MT
COMPLEJO AGROINDUSTRIAL BETA S.A.;;;2 150 USD/MT;22 MT
;blueberry;;;
;;chunks;2 150 USD/MT;22 MT
SUNSHINE EXPORT S.A.C;;;3 200 USD/MT;20 MT
;avocado;;;
;;pulp;3 200 USD/MT;20 MT
LAMAS IMPORT EXPORT S.A.C.;;;1 499 USD/MT;17 MT
;soursop;;;
;;pulp;1 611 USD/MT;7 MT
;;whole;1 447 USD/MT;0 MT
;mango;;;
;;pulp;1 462 USD/MT;4 MT
;passion_fruit;;;
;;pulp;1 657 USD/MT;2 MT
;;whole;1 313 USD/MT;1 MT
;lucuma;;;
;;pulp;1 246 USD/MT;1 MT
;;halves;1 875 USD/MT;0 MT
;pineapple;;;
;;pulp;1 600 USD/MT;1 MT
;papaya;;;
;;chunks;1 282 USD/MT;0 MT
THE GREEN FARMER S.A.C.;;;3 777 USD/MT;16 MT
;lucuma;;;
;;pulp;3 853 USD/MT;14 MT
;passion_fruit;;;
;;pulp;3 700 USD/MT;2 MT
ZOWI PERU SOCIEDAD ANONIMA CERRADA;;;3 023 USD/MT;16 MT
;passion_fruit;;;
;;pulp;2 973 USD/MT;13 MT
;lucuma;;;
;;pulp;3 073 USD/MT;3 MT
MIRANDA - LANGA AGRO EXPORT S.A.C - MIRANDA - LANGA S.A.C;;;3 837 USD/MT;9 MT
;lucuma;;;
;;pulp;4 174 USD/MT;6 MT
;passion_fruit;;;
;;pulp;3 500 USD/MT;3 MT
MIKUY TRADERS S.A.C.;;;2 160 USD/MT;7 MT
;passion_fruit;;;
;;pulp;1 682 USD/MT;5 MT
;lucuma;;;
;;pulp;2 653 USD/MT;1 MT
;papaya;;;
;;pulp;1 805 USD/MT;0 MT
;;chunks;2 000 USD/MT;0 MT
;soursop;;;
